sku,slugname
579,-vita-derm-intensiv-color-fashion-shampoo-sem-sal-200ml
617,-vita-derm-locao-tonica-vita-equilibrio-100ml
588,-vita-derm-mascara-bio-secativa-acne-control-20g
620,-vita-derm-mousse-facial-fps20-vita-equilibrio-65ml
609,-vita-derm-nano-equilibrio-recondicionador-equilibrante-condicionador-200ml
611,-vita-derm-nano-equilibrio-shampoo-equilibrante-200ml
589,-vita-derm-new-active-marine-creme-vitalizante-com-dmae-45g
604,-vita-derm-peeling-shampoo-esfoliante-pre-shampoo-100ml
606,-vita-derm-power-liss-equalizador-creme-200g
607,-vita-derm-power-liss-long-lasting-finalizador-200ml
605,-vita-derm-power-liss-shampoo-cremoso-shampoo-200ml
608,-vita-derm-recondicionador-equilibrante-2-condicionador-250ml
567,-vita-derm-recondicionador-hidratante-cachos-condicionador-250ml
602,-vita-derm-serum-fotoprotetor-fps30-100ml
610,-vita-derm-shampoo-equilibrante-2-shampoo-250ml
566,-vita-derm-shampoo-hidratante-cachos-shampoo-250ml
597,-vita-derm-shampoo-shower-refrescante-200g
584,-vita-derm-shampoo-vita-afro-shampoo-200ml
613,-vita-derm-shape-gel-bioestimulante-200ml
612,-vita-derm-shape-gel-crioterapico-200ml
582,-vita-derm-vita-afro-creme-finalizador-capilar-finalizador-200g
572,-vita-derm-vita-brushing-creme-para-pentear-200g
569,-vita-derm-vita-complex-tonico-capilar-100ml
585,-vita-derm-vita-fashion-hair-5-em-1-hidratante-200g
570,-vita-derm-vita-hidratante-hidratante
571,-vita-derm-vita-shampoo-200ml
614,-vita-derm-vita-spa-esfoliante-de-manga-200ml
616,-vita-derm-vita-spa-hidratante-copaiba-e-abacate-hidratante-200ml
615,-vita-derm-vita-spa-hidratante-de-manga-e-cupuacu-hidratante-200ml
9427,-vizcaya-blister-hidrat-hydra-care-20ml
9415,-vizcaya-hidrat-ilum-blonde-action-20ml
1309,-wella-professionals-high-hair-style-manager-controle-natural-finalizador-100ml
721,-wella-sp-curl-saver-shampoo-250ml
717,-wella-sp-energy-shampoo-250ml
713,-wella-sp-hydro-shampoo-250ml
719,-wella-sp-regulate-shampoo-250ml
716,-wella-sp-remove-shampoo-250ml
714,-wella-sp-repair-shampoo-250ml
3646,-wella-sp-smoothen-conditioner-condicionador-1000ml
9281,-yardley-english-lavender-eau-de-toilette
17631,-yardley-magnolia-sabonetes-cxc3uun-300gr
20272,-yellow-form-brazilian-keratin-protex-sh-250ml;-mousse-150ml-e-mascara-150ml
10849,-zippo-coffret-edt-50mlcase-isqueiro
40049,1-million-paco-rabanne-edicao-limitada-eau-de-toilette-perfume-masculino-100ml
20271,10446-10301-12900-20270
26614,1076-1075-1077-3484-2487
22109,12900-12901
29134,13344-13339-13343-17638-20481-17639
29131,13355-13356-13352-13354-13351-13350
29133,13394-13332-13381-13380-13374-13376-17640-13378-13377
17260,15541-15542
17173,15648-15649-15650
17174,15651-15652-15654-15656-15658
17175,15653-15655-15657-15659
17176,15660-15661
17177,15664-15665-16075-16076
17178,15697-15698
17179,15717-15718
17181,15721-15722
17183,15737-15738
17184,16078-16079-16080
17185,16081-16082
16908,16093-16094
20199,16268-16269
22320,16537-16538-16539
28382,16584-16588-16590
17668,16709-16710
22123,16932-16931-16930
17953,17515-17516-17517
11994,1902-premium-cardamomum-vegetalis-unissex-eau-de-cologne
26793,1902-premium-cedre-blanc-perfume-unissex-eau-de-cologne
11989,1902-premium-citrus-hesperida-unissex-eau-de-cologne
26794,1902-premium-gingembre-vert-perfume-unissex-eau-de-cologne
26797,1902-premium-lavande-perfume-unissex-eau-de-cologne
11990,1902-premium-lavandula-vera-unissex-eau-de-cologne
26796,1902-premium-naturelle-perfume-unissex-eau-de-cologne
26795,1902-premium-pamplemousse-perfume-unissex-eau-de-cologne
26799,1902-premium-the-vert-perfume-unissex-eau-de-cologne
11993,1902-premium-thea-verde-unissex-eau-de-cologne
26798,1902-premium-tonique-perfume-unissex-eau-de-cologne
26800,1902-premium-vetiver-perfume-unissex-eau-de-cologne
11992,1902-premium-vetiveria-herbacea-unissex-eau-de-cologne
11991,1902-premium-viola-odorata-unissex-eau-de-cologne
26817,1902-premium-violette-perfume-unissex-eau-de-cologne
26221,1902-tradition-cedre-blanc-perfume-unissex-eau-de-cologne-245ml
26292,1902-tradition-cedre-blanc-perfume-unissex-eau-de-cologne-480ml
10108,1902-tradition-collection-cardamomium-vegetalis-eau-de-cologne-100ml
